frame,timestamp,num_persons_visible,backpack_id,backpack_state,event,backpack_confidence,backpack_from_memory,backpack_x1,backpack_y1,backpack_x2,backpack_y2,backpack_roi_overlap_pct,roi_value,wrist_inside_roi,backpack_inside_roi,owner_person_id
121,4.033,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
121,4.033,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
122,4.067,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
122,4.067,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
123,4.100,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
123,4.100,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
124,4.133,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
124,4.133,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
125,4.167,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
125,4.167,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
126,4.200,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
126,4.200,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
127,4.233,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
127,4.233,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
128,4.267,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
128,4.267,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
129,4.300,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
129,4.300,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
130,4.333,1,1,PERSON LEAVES,Backpack 1: PICKED -> PERSON LEAVES,,True,585,492,745,723,30.0,70.0,False,False,2
130,4.333,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
131,4.367,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
131,4.367,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
132,4.400,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
132,4.400,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
133,4.433,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
133,4.433,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
134,4.467,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
134,4.467,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
135,4.500,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
135,4.500,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
136,4.533,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
136,4.533,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
137,4.567,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
137,4.567,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
138,4.600,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
138,4.600,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
139,4.633,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
139,4.633,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
140,4.667,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
140,4.667,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
141,4.700,1,1,PERSON LEAVES,,,True,585,492,745,723,30.0,70.0,False,False,2
141,4.700,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
142,4.733,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
142,4.733,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
143,4.767,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
143,4.767,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
144,4.800,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
